geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
17087,17,087,Johnson,2021-01-01,2021,AN91,5.760192528263789,5.713048484496586,1.1621873775568747,10.275891087144133
17173,17,173,Shelby,2021-01-01,2021,AN91,9.877176899507814,0.7138372555808313,-0.5589583214770487,1.9933204598112089
17051,17,051,Fayette,2021-01-01,2021,AN91,5.935450806877403,1.112212838928425,-0.5302101136513524,2.790056614939716
17139,17,139,Moultrie,2021-01-01,2021,AN91,11.829335374373127,0.49642133668281,-0.44791582325276896,1.5165457607817343
17017,17,017,Cass,2021-01-01,2021,AN91,12.046560128654379,-1.4446978116061917,-3.1395484469923396,0.12493021261734454
17015,17,015,Carroll,2021-01-01,2021,AN91,8.294037985596399,-3.912323298685801,-7.451361097801227,-0.5049738566242279
17047,17,047,Edwards,2021-01-01,2021,AN91,6.144940763821497,4.066416072412666,0.01264866769254107,8.034365286064496
17079,17,079,Jasper,2021-01-01,2021,AN91,8.590522228447638,2.4642155240841768,-0.7652393782386016,5.647385236789938
17187,17,187,Warren,2021-01-01,2021,AN91,9.30025753582801,-3.7860149239907024,-7.527242970684214,-0.09742560041464904
17153,17,153,Pulaski,2021-01-01,2021,AN91,4.677728602029079,6.571240678673886,2.1178538736536123,11.236261617697652
17165,17,165,Saline,2021-01-01,2021,AN91,1.9580812508806067,5.013129075569081,0.2917309974270623,9.476497962816195
17101,17,101,Lawrence,2021-01-01,2021,AN91,6.750680045154423,3.6324536512129577,-0.09270075081229602,7.368946437812492
17045,17,045,Edgar,2021-01-01,2021,AN91,11.920247824747669,1.3239347981400655,-0.5186712647105788,3.3687803059991364
17071,17,071,Henderson,2021-01-01,2021,AN91,11.319232882401977,-4.251605392564162,-8.12318838289392,-0.395136592504912
17199,17,199,Williamson,2021-01-01,2021,AN91,0.9994421025388273,4.669822707445464,0.46316548642861444,8.77752917943577
17077,17,077,Jackson,2021-01-01,2021,AN91,1.6901839804407972,3.7080198229848778,0.6166176246540821,6.976134836630449
17147,17,147,Piatt,2021-01-01,2021,AN91,11.743316380909231,-0.09879990041814914,-1.040535833299234,0.9623854711984662
17053,17,053,Ford,2021-01-01,2021,AN91,15.058429243635961,-0.8194407861379116,-2.002625507660001,0.4761074801012041
17019,17,019,Champaign,2021-01-01,2021,AN91,14.569855672151897,-0.2341993954135699,-1.413757264301068,0.896656385882176
17029,17,029,Coles,2021-01-01,2021,AN91,9.822797032101771,1.2524604006550373,-0.5178702200697218,3.051468910202295
17035,17,035,Cumberland,2021-01-01,2021,AN91,7.874301944524588,1.9137869356935664,-0.48426000150442106,4.2248734196922975
17183,17,183,Vermilion,2021-01-01,2021,AN91,17.588164889074168,0.28585656756616684,-1.0907757187003992,1.828954486068405
17115,17,115,Macon,2021-01-01,2021,AN91,13.459423273867905,-0.009133820109301062,-0.8704908267248307,0.936812148019328
17049,17,049,Effingham,2021-01-01,2021,AN91,4.8263246625045095,1.9066663213349855,-0.3892455404730918,4.250927535018555
17067,17,067,Hancock,2021-01-01,2021,AN91,10.933992299058417,-3.770971381062063,-7.328580374479728,-0.14616421129357818
17095,17,095,Knox,2021-01-01,2021,AN91,10.262603223979266,-3.6071533699210203,-7.159341844555852,0.11599163313438067
17109,17,109,McDonough,2021-01-01,2021,AN91,9.43585917076167,-3.060548905051162,-6.138004367413813,0.05400351686512904
17081,17,081,Jefferson,2021-01-01,2021,AN91,4.0135295389516745,2.9765337991825134,-0.06686491201917376,6.096131175956116
17113,17,113,McLean,2021-01-01,2021,AN91,15.975853649186003,-1.0600845814767081,-2.285699360258699,0.4605853728021456
17039,17,039,De Witt,2021-01-01,2021,AN91,11.789278681257171,-0.6128978040882688,-1.550430735386689,0.5504438893708578
17105,17,105,Livingston,2021-01-01,2021,AN91,15.036622547826166,-1.2222250146293305,-2.9120539534976744,0.415354331209953
17003,17,003,Alexander,2021-01-01,2021,AN91,2.2751219560137783,5.952023833584872,1.808886897443595,10.162663859598029
17093,17,093,Kendall,2021-01-01,2021,AN91,9.81143944559769,-1.5607730581261507,-4.240794453189781,0.5149860891762339
17031,17,031,Cook,2021-01-01,2021,AN91,11.524434746045799,-0.47268166047622584,-2.4098737601131623,1.5340298022936534
17037,17,037,DeKalb,2021-01-01,2021,AN91,11.095513242432174,-3.1208661831365445,-6.094492249737292,0.05550603947742655
17089,17,089,Kane,2021-01-01,2021,AN91,10.03595118604691,-2.404493173327259,-5.377377709396455,0.6009978352544401
17063,17,063,Grundy,2021-01-01,2021,AN91,11.417627952511014,-1.4993836149447022,-3.6226751310534153,0.25446248294775975
17111,17,111,McHenry,2021-01-01,2021,AN91,15.425338645666248,-3.243277947990077,-7.011873603564039,0.2131696166869061
17197,17,197,Will,2021-01-01,2021,AN91,15.37542948371457,-1.1613799893433974,-3.2336495068269557,0.8855292115203938
17043,17,043,DuPage,2021-01-01,2021,AN91,9.770445893386881,-1.3454406387082172,-3.7263111381123153,1.1676707424513983
17097,17,097,Lake,2021-01-01,2021,AN91,10.917591934378391,-1.7664954110638742,-4.551723689141652,0.7847690440188996
