geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
17121,17,121,Marion,2020-01-01,2020,AN81,0.0,4.760743714703452,-1.947460312076978,11.470019184891296
17005,17,005,Bond,2020-01-01,2020,AN81,0.0,4.581758945512627,-2.228708536187455,11.393191932573028
17083,17,083,Jersey,2020-01-01,2020,AN81,0.0,5.295558896472963,-2.4727715311343905,13.064829921901842
17163,17,163,St. Clair,2020-01-01,2020,AN81,0.0,5.717461000288204,-1.7126108984800632,13.14856972965051
17027,17,027,Clinton,2020-01-01,2020,AN81,0.0,5.016354537672468,-1.9700167144785448,12.003627333182779
17013,17,013,Calhoun,2020-01-01,2020,AN81,0.0,5.688199460903768,-2.096567495792518,13.474023892798751
17119,17,119,Madison,2020-01-01,2020,AN81,0.0,5.43209770954263,-1.786147331350957,12.651322913278891
17133,17,133,Monroe,2020-01-01,2020,AN81,0.0,6.343311658559821,-0.6374160480688343,13.324972547093004
17117,17,117,Macoupin,2020-01-01,2020,AN81,0.0,4.387069156152223,-2.4825107677018914,11.257703130690548
17171,17,171,Scott,2020-01-01,2020,AN81,0.0,4.55455840996065,-3.07829334035551,12.188283461299445
17137,17,137,Morgan,2020-01-01,2020,AN81,0.0,4.1869235720340825,-2.936567859726039,11.311318738230247
17107,17,107,Logan,2020-01-01,2020,AN81,0.0,2.9454197745274344,-3.4784413152563367,9.370217548080104
17129,17,129,Menard,2020-01-01,2020,AN81,0.0,3.3120072316598184,-3.559469103062837,10.184585917042899
17167,17,167,Sangamon,2020-01-01,2020,AN81,0.0,3.65074807776766,-2.8979283977009964,10.2004139427458
17021,17,021,Christian,2020-01-01,2020,AN81,0.0,3.6517066010635104,-2.710180402395518,10.01455937543903
17127,17,127,Massac,2020-01-01,2020,AN81,0.0,5.430670340633208,-1.0186461527514856,11.88096561984889
17057,17,057,Fulton,2020-01-01,2020,AN81,0.0,2.6387371290512753,-4.24631831398449,9.52472028130232
17175,17,175,Stark,2020-01-01,2020,AN81,0.0,1.215404205134598,-5.4806502925002665,7.9125296696434075
17203,17,203,Woodford,2020-01-01,2020,AN81,0.0,1.8087735609141042,-4.385284931057172,8.003863155513836
17179,17,179,Tazewell,2020-01-01,2020,AN81,0.0,2.2930958206662884,-4.169936841160045,8.75703063970855
17123,17,123,Marshall,2020-01-01,2020,AN81,0.0,1.3506696556912796,-4.942451139024192,7.644855477021443
17143,17,143,Peoria,2020-01-01,2020,AN81,0.0,1.7564828053807622,-4.798628961105173,8.312602313630471
17001,17,001,Adams,2020-01-01,2020,AN81,0.0,4.2786388299242155,-2.957954429142222,11.51619515411779
17177,17,177,Stephenson,2020-01-01,2020,AN81,0.0,-2.3991122396387525,-9.312598938233078,4.513373695087945
17141,17,141,Ogle,2020-01-01,2020,AN81,0.0,-1.6827123862327067,-7.793916674649855,4.427551697311958
17201,17,201,Winnebago,2020-01-01,2020,AN81,0.003934407278459115,-2.0929573956842753,-8.658255818095803,4.471236873498678
17007,17,007,Boone,2020-01-01,2020,AN81,0.0,-1.902853951967051,-8.355565440353647,4.548748069424652
17025,17,025,Clay,2020-01-01,2020,AN81,0.0,4.489435039001154,-1.9913603828207158,10.971164920985752
17185,17,185,Wabash,2020-01-01,2020,AN81,0.0,4.700423663782006,-1.0973509282317306,10.499277832812423
17009,17,009,Brown,2020-01-01,2020,AN81,0.0,4.246504426214651,-3.2104135967153407,11.704351997051475
17151,17,151,Pope,2020-01-01,2020,AN81,0.0,4.788459997816863,-1.9664069831206425,11.544375848242522
17033,17,033,Crawford,2020-01-01,2020,AN81,0.0,4.049359361044307,-1.691222836077298,9.791067102253992
17135,17,135,Montgomery,2020-01-01,2020,AN81,0.0,3.9052733170802707,-2.5666666529905307,10.378161341149093
17055,17,055,Franklin,2020-01-01,2020,AN81,0.0,4.785012038056456,-2.261419748475743,11.83245650583927
17023,17,023,Clark,2020-01-01,2020,AN81,0.0,3.880220966701747,-1.9113521338897517,9.672844303525254
17059,17,059,Gallatin,2020-01-01,2020,AN81,0.0,4.94803993167681,-1.40277607586833,11.299959181165171
17075,17,075,Iroquois,2020-01-01,2020,AN81,0.01157425299241294,0.8252782283950929,-5.1067617499018025,6.75835512617241
17041,17,041,Douglas,2020-01-01,2020,AN81,0.0,3.0657370843078566,-2.6027961596135643,8.73519899809861
17189,17,189,Washington,2020-01-01,2020,AN81,0.0,5.133896218333999,-1.7911156881506338,12.059818375610561
17159,17,159,Richland,2020-01-01,2020,AN81,0.0,4.34283605930231,-1.6235248510006717,10.310148573538424
17065,17,065,Hamilton,2020-01-01,2020,AN81,0.0,4.768546215668871,-1.8427899876973473,11.380985591985707
17193,17,193,White,2020-01-01,2020,AN81,0.0,4.820468329954835,-1.1290819473603044,10.771032566205523
17169,17,169,Schuyler,2020-01-01,2020,AN81,0.0,3.8973377920658563,-3.293170548447978,11.088805174077965
17181,17,181,Union,2020-01-01,2020,AN81,0.0,4.979607426819315,-1.7563272178238478,11.716537702753692
17085,17,085,Jo Daviess,2020-01-01,2020,AN81,0.0,-2.384958114782957,-9.93852162284842,5.167678909924836
17125,17,125,Mason,2020-01-01,2020,AN81,0.0,2.9114495931400914,-3.941066461882965,9.76499147667345
17191,17,191,Wayne,2020-01-01,2020,AN81,0.0,4.678082515056192,-1.7596291924629317,11.116844489670664
17069,17,069,Hardin,2020-01-01,2020,AN81,0.0,4.759500342803063,-1.803915263242627,11.323843662544936
17061,17,061,Greene,2020-01-01,2020,AN81,0.0,4.809657031556739,-2.8006711830103064,12.421010297941589
17157,17,157,Randolph,2020-01-01,2020,AN81,0.0,5.511821544701828,-1.4610965097036626,12.485697161633214
17149,17,149,Pike,2020-01-01,2020,AN81,0.0,4.841403765265765,-2.8720909852629095,12.555885776957473
17145,17,145,Perry,2020-01-01,2020,AN81,0.0,5.1115123392844275,-1.86138169691342,12.085532281904442
17087,17,087,Johnson,2020-01-01,2020,AN81,0.0,5.001316262191328,-1.7097071436620046,11.713438802142946
17173,17,173,Shelby,2020-01-01,2020,AN81,0.0,3.851297292583207,-2.3771235597436484,10.080781034738864
17051,17,051,Fayette,2020-01-01,2020,AN81,0.0,4.330451266868433,-2.17015878544124,10.832063699965925
17139,17,139,Moultrie,2020-01-01,2020,AN81,0.0,3.3310905291925987,-2.5578082118752756,9.22122104640331
17017,17,017,Cass,2020-01-01,2020,AN81,0.0,3.7686342765805847,-3.394620561540584,10.932724794997199
17015,17,015,Carroll,2020-01-01,2020,AN81,0.0,-1.4658415421131632,-8.763203269998272,5.830585692455467
17047,17,047,Edwards,2020-01-01,2020,AN81,0.0,4.710856857271317,-1.2260203305084034,10.648742337437238
17079,17,079,Jasper,2020-01-01,2020,AN81,0.0,4.262936821093426,-1.617824811165011,10.14447928284406
17187,17,187,Warren,2020-01-01,2020,AN81,0.0,2.114125233420136,-4.467407485236321,8.69657665976375
17153,17,153,Pulaski,2020-01-01,2020,AN81,0.0,5.45487717520751,-0.7029419848390046,11.613396619919873
17165,17,165,Saline,2020-01-01,2020,AN81,0.0,4.72074650941222,-2.1122933279098866,11.554841341233173
17101,17,101,Lawrence,2020-01-01,2020,AN81,0.0,4.575800494067514,-1.1475822801218412,10.29991554580702
17045,17,045,Edgar,2020-01-01,2020,AN81,0.0,3.128769710944075,-2.3985239743093176,8.656952803118234
17071,17,071,Henderson,2020-01-01,2020,AN81,0.0,2.3453887743134607,-4.047938469495032,8.739788691717605
17199,17,199,Williamson,2020-01-01,2020,AN81,0.0,4.809264568702574,-2.1662200559971687,11.785765518557803
17077,17,077,Jackson,2020-01-01,2020,AN81,0.0,4.896276647386948,-2.0558180654566827,11.849385640332855
17147,17,147,Piatt,2020-01-01,2020,AN81,0.0,2.42002636902537,-3.7096640187361993,8.550695139746205
17053,17,053,Ford,2020-01-01,2020,AN81,1.223678183277227E-6,1.0592527356370467,-5.039379203944982,7.158896191605298
17019,17,019,Champaign,2020-01-01,2020,AN81,0.0,1.852193013513079,-4.253617347610135,7.9589261162072145
17029,17,029,Coles,2020-01-01,2020,AN81,0.0,3.5979502614459786,-1.9782972968571477,9.175195856925114
17035,17,035,Cumberland,2020-01-01,2020,AN81,0.0,3.9691771545930323,-1.9594272612831802,9.898700149536126
17183,17,183,Vermilion,2020-01-01,2020,AN81,5.269976201508827E-5,2.3354244109653153,-3.198792530852174,7.870682238691324
17115,17,115,Macon,2020-01-01,2020,AN81,0.0,3.2545375141587347,-2.909456616135673,9.41964242706891
17049,17,049,Effingham,2020-01-01,2020,AN81,0.0,4.337815470461531,-2.0671805935855496,10.743766158189807
17067,17,067,Hancock,2020-01-01,2020,AN81,0.0,3.867547285048903,-2.883310166376797,10.619399767566293
17095,17,095,Knox,2020-01-01,2020,AN81,0.0,1.749356240573521,-4.970301309835956,8.470074644294577
17109,17,109,McDonough,2020-01-01,2020,AN81,0.0,3.13247068249293,-3.659290127041992,9.925463765719876
17081,17,081,Jefferson,2020-01-01,2020,AN81,0.0,4.769320205740758,-2.0925961405987565,11.63212779721158
17113,17,113,McLean,2020-01-01,2020,AN81,0.0,1.7086129896496531,-4.53078764241874,7.948948041156947
17039,17,039,De Witt,2020-01-01,2020,AN81,0.0,2.3027300120033205,-3.9990963441521132,8.605559703293725
17105,17,105,Livingston,2020-01-01,2020,AN81,0.0,1.0829571714861372,-4.949435863471532,7.1163383262176625
17003,17,003,Alexander,2020-01-01,2020,AN81,0.0,5.269451804449884,-0.9986252593353152,11.538660859884816
17093,17,093,Kendall,2020-01-01,2020,AN81,0.0,-0.5475838660439384,-6.844496583051829,5.7485949191075285
17031,17,031,Cook,2020-01-01,2020,AN81,0.004884107411538142,-0.010908693065833556,-5.901445393601766,5.879584805873749
17037,17,037,DeKalb,2020-01-01,2020,AN81,0.0,-2.112235703729219,-8.210550385418074,3.9850638602656683
17089,17,089,Kane,2020-01-01,2020,AN81,0.0,-1.6163889720822064,-7.712801212460669,4.4790598053264405
17063,17,063,Grundy,2020-01-01,2020,AN81,0.0,0.44152200563286625,-5.589994941285881,6.473987275297254
17111,17,111,McHenry,2020-01-01,2020,AN81,0.0,-1.888975959132871,-8.461236012605417,4.6820880229447885
17197,17,197,Will,2020-01-01,2020,AN81,0.0,-0.10154373015296662,-6.434054295331772,6.230924574465465
17043,17,043,DuPage,2020-01-01,2020,AN81,0.06913987566740724,-0.4420454945585601,-6.541522578414968,5.656531233327098
17097,17,097,Lake,2020-01-01,2020,AN81,0.0,-0.9908931687634126,-7.501951862322371,5.519362342988476
17091,17,091,Kankakee,2020-01-01,2020,AN81,0.0,0.08481242271374896,-6.0982111323647965,6.268298029538724
17011,17,011,Bureau,2020-01-01,2020,AN81,0.0,0.21792625708778898,-6.392069263348721,6.828397999487942
17155,17,155,Putnam,2020-01-01,2020,AN81,0.0,0.9130174329623665,-5.438280475370518,7.265371425172385
17099,17,099,LaSalle,2020-01-01,2020,AN81,0.0,0.12389782751948519,-5.849814647477642,6.097671793772544
17131,17,131,Mercer,2020-01-01,2020,AN81,0.0,1.7707556221873713,-4.975580940795244,8.518060277432895
17161,17,161,Rock Island,2020-01-01,2020,AN81,0.0,1.3903760732591657,-5.14921493540106,7.930972005841214
17073,17,073,Henry,2020-01-01,2020,AN81,0.0,1.0745722972105403,-5.582491311846527,7.73267012795305
17103,17,103,Lee,2020-01-01,2020,AN81,0.0,-1.1769265922649388,-7.147873696390871,4.793270435391845
17195,17,195,Whiteside,2020-01-01,2020,AN81,0.0,-0.19503086599569872,-6.882395980088894,6.491966175544494
17121,17,121,Marion,2020-01-02,2020,AN81,1.1244804232458483,8.724165592622503,5.261336734706972,12.18783370136584
17005,17,005,Bond,2020-01-02,2020,AN81,0.04153725281799319,7.597590663871476,3.4946945394743314,11.701730083221308
17083,17,083,Jersey,2020-01-02,2020,AN81,0.0,7.101692729828706,2.372362792123439,11.831888385204163
17163,17,163,St. Clair,2020-01-02,2020,AN81,0.0014493682906284503,7.806118939378318,3.5536230681460923,12.059701969118674
17027,17,027,Clinton,2020-01-02,2020,AN81,0.1488216755110078,8.160285840117629,4.3311497264051475,11.990533277211108
17013,17,013,Calhoun,2020-01-02,2020,AN81,0.0,7.1640040516991075,2.464835468307833,11.864293826822594
17119,17,119,Madison,2020-01-02,2020,AN81,0.0,7.493371170361728,3.046239777959075,11.941390483877814
17133,17,133,Monroe,2020-01-02,2020,AN81,0.0,8.411479430324862,4.8102054760273525,12.013969200181814
17117,17,117,Macoupin,2020-01-02,2020,AN81,0.0,6.461965217872476,2.0943458510048987,10.830524264246197
17171,17,171,Scott,2020-01-02,2020,AN81,0.0,6.479215081232191,2.0313957800092055,10.92813864169485
17137,17,137,Morgan,2020-01-02,2020,AN81,0.0,6.283154845722937,1.9071940579212563,10.660110913677816
17107,17,107,Logan,2020-01-02,2020,AN81,0.0,6.363409550786855,2.3933784727158964,10.334435532835442
17129,17,129,Menard,2020-01-02,2020,AN81,0.0,6.242819662154142,2.039689144743042,10.447147958997101
17167,17,167,Sangamon,2020-01-02,2020,AN81,0.0,6.355613016226533,2.160244030228395,10.552017245241979
17021,17,021,Christian,2020-01-02,2020,AN81,0.0,6.535327672289693,2.3705506859107697,10.701068549683777
17127,17,127,Massac,2020-01-02,2020,AN81,22.351336062995237,9.748889199257107,7.825151332572352,11.673617663324897
17057,17,057,Fulton,2020-01-02,2020,AN81,0.0,5.676147683461506,0.880907882013926,10.47252120412426
17175,17,175,Stark,2020-01-02,2020,AN81,0.0,4.9637480856451095,0.2543465930263824,9.674115092422412
17203,17,203,Woodford,2020-01-02,2020,AN81,0.0,5.147569204125994,0.7334331691271374,9.562652897469379
17179,17,179,Tazewell,2020-01-02,2020,AN81,0.0,5.609536702454346,1.394495344554448,9.82563363809799
17123,17,123,Marshall,2020-01-02,2020,AN81,0.0,5.307404542430679,1.0177536637640634,9.598060395381724
17143,17,143,Peoria,2020-01-02,2020,AN81,0.0,5.411400368230241,0.9879553601761428,9.835966630161309
17001,17,001,Adams,2020-01-02,2020,AN81,0.0,6.336576903134654,1.4777426346371612,11.196403265197114
17177,17,177,Stephenson,2020-01-02,2020,AN81,0.0,3.8851885983778205,-0.1951400645822436,7.966478899583463
17141,17,141,Ogle,2020-01-02,2020,AN81,0.0,4.099780395776929,0.33733888045377614,7.863120696138106
17201,17,201,Winnebago,2020-01-02,2020,AN81,0.0,4.287570210389025,0.6562652039814078,7.919881951896363
17007,17,007,Boone,2020-01-02,2020,AN81,0.0,4.10472219356906,0.4832665732731606,7.727263565810374
17025,17,025,Clay,2020-01-02,2020,AN81,2.9389049995642145,7.963212550210661,3.9397266660333283,11.987706492261454
17185,17,185,Wabash,2020-01-02,2020,AN81,12.478155751243385,7.793559212054439,4.709491888466962,10.87868943728462
17009,17,009,Brown,2020-01-02,2020,AN81,0.0,6.103753159181562,1.558795340546048,10.649632793436389
17151,17,151,Pope,2020-01-02,2020,AN81,15.643054161164102,9.358237624663037,7.544900078397567,11.172483589375494
17033,17,033,Crawford,2020-01-02,2020,AN81,7.438504101178476,7.219641163245928,2.834372698942784,11.605705178163447
17135,17,135,Montgomery,2020-01-02,2020,AN81,0.0,6.55031081055743,2.2952802072515235,10.80642452557151
17055,17,055,Franklin,2020-01-02,2020,AN81,9.64048266720796,8.926666057557645,7.383957760807252,10.470382422228425
17023,17,023,Clark,2020-01-02,2020,AN81,3.5008034135433577,7.301443376390197,2.634244765189689,11.969658151841509
17059,17,059,Gallatin,2020-01-02,2020,AN81,12.016179540589631,8.864271177807423,7.0028462641214615,10.726800043459434
17075,17,075,Iroquois,2020-01-02,2020,AN81,0.0,5.545445040925872,1.546327139409479,9.545528408018756
17041,17,041,Douglas,2020-01-02,2020,AN81,0.0,6.614341865514072,2.31477898675664,10.914917004301802
17189,17,189,Washington,2020-01-02,2020,AN81,0.8041718612842207,8.77399862334078,5.712715815933217,11.83617927277338
17159,17,159,Richland,2020-01-02,2020,AN81,8.42775417935886,7.714981642806085,4.013190081502042,11.417730574489516
17065,17,065,Hamilton,2020-01-02,2020,AN81,8.596197019579938,8.599851774600573,6.502655786553957,10.697946923195733
17193,17,193,White,2020-01-02,2020,AN81,11.326047242761971,8.068239612796498,5.531926965935035,10.60557895009329
17169,17,169,Schuyler,2020-01-02,2020,AN81,0.0,5.982699457268672,1.2522122829316622,10.714158450012105
17181,17,181,Union,2020-01-02,2020,AN81,9.99064420374584,9.217265060247113,7.916579563201103,10.518952926823662
