geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
18039,18,039,Elkhart,2020-01-01,2020,AN81,0.0,0.2564891641066185,-3.8246839529184506,4.338327524273315
18099,18,099,Marshall,2020-01-01,2020,AN81,0.0,0.29999318551115706,-3.7264867049056756,4.327285821003112
18141,18,141,St. Joseph,2020-01-01,2020,AN81,0.0,0.05869914597907594,-4.280669716804585,4.398219842002745
18041,18,041,Fayette,2020-01-01,2020,AN81,0.0,3.8245014737101015,0.02053648451565411,7.629592426054805
18177,18,177,Wayne,2020-01-01,2020,AN81,0.0,3.4185211374789857,-0.19366014075444513,7.031617332999079
18123,18,123,Perry,2020-01-01,2020,AN81,0.0,5.020222597145494,-0.6127267661446932,10.654255334896831
18117,18,117,Orange,2020-01-01,2020,AN81,0.0,4.205401092207934,-1.0670389374853484,9.478872812363363
18171,18,171,Warren,2020-01-01,2020,AN81,0.0,2.0562438501207345,-3.184822340183851,7.298300996396604
18137,18,137,Ripley,2020-01-01,2020,AN81,0.0,4.405066923394574,0.05345398547785372,8.757591733076202
18047,18,047,Franklin,2020-01-01,2020,AN81,0.0,4.393379712451891,0.2944154867574119,8.493627850955923
18051,18,051,Gibson,2020-01-01,2020,AN81,0.0,4.982546572198814,-0.554536435031294,10.520606549453657
18049,18,049,Fulton,2020-01-01,2020,AN81,0.0,0.9291370477170634,-3.1102395698194454,4.969540667637292
18055,18,055,Greene,2020-01-01,2020,AN81,0.0,4.092458119349669,-1.151473747356307,9.337372218382113
18139,18,139,Rush,2020-01-01,2020,AN81,0.0,3.7588344189647134,0.02084389604181566,7.497704428344883
18135,18,135,Randolph,2020-01-01,2020,AN81,0.0,3.0808851193419833,-0.4362010598483263,6.598999177862934
18087,18,087,LaGrange,2020-01-01,2020,AN81,0.0,-0.24302903740996834,-4.0845750285623925,3.5976282715340573
18131,18,131,Pulaski,2020-01-01,2020,AN81,0.0,0.3596019711353274,-4.353279215554421,5.073310933090738
18149,18,149,Starke,2020-01-01,2020,AN81,0.0,-0.029516487310883674,-4.334850987977782,4.275541367289745
18045,18,045,Fountain,2020-01-01,2020,AN81,0.0,2.4667800004038405,-2.6009929856839444,7.5354729309861
18159,18,159,Tipton,2020-01-01,2020,AN81,0.0,2.8256751019758566,-1.6785691261200395,7.3310344993891645
18025,18,025,Crawford,2020-01-01,2020,AN81,0.0,4.450124637599012,-1.1441792565453153,10.045340056955341
18155,18,155,Switzerland,2020-01-01,2020,AN81,0.0,4.358989822381158,-0.498027979016202,9.216990190393789
18121,18,121,Parke,2020-01-01,2020,AN81,0.0,3.211648158401105,-1.8288100292651905,8.253145848978567
18009,18,009,Blackford,2020-01-01,2020,AN81,0.0,2.971293418599997,-0.3817722960972646,6.3251713329481
18147,18,147,Spencer,2020-01-01,2020,AN81,0.0,5.225353719878487,-0.23485579197607837,10.686669540161212
18075,18,075,Jay,2020-01-01,2020,AN81,0.0,2.9110290919725377,-0.5579328108111555,6.380968623830534
18181,18,181,White,2020-01-01,2020,AN81,0.0,1.0852661731233748,-4.0916283501230755,6.263190528057239
18101,18,101,Martin,2020-01-01,2020,AN81,0.0,4.342401477158541,-1.1344586869686946,9.82015282534583
18173,18,173,Warrick,2020-01-01,2020,AN81,0.0,5.351517714902043,0.08447541059126253,10.619616689464058
18129,18,129,Posey,2020-01-01,2020,AN81,0.0,5.254275811252527,-0.554908887161144,11.064402173672145
18163,18,163,Vanderburgh,2020-01-01,2020,AN81,0.0,5.251043951691162,-0.31480666169478605,10.81778253106449
18037,18,037,Dubois,2020-01-01,2020,AN81,0.0,4.597910472153289,-0.6380234370997439,9.834799713847323
18125,18,125,Pike,2020-01-01,2020,AN81,0.0,4.851039773286351,-0.4425560386035339,10.145536195355405
18017,18,017,Cass,2020-01-01,2020,AN81,0.0,1.5994804128762192,-2.657621170495718,5.857610825833147
18053,18,053,Grant,2020-01-01,2020,AN81,0.0,2.5673894624001607,-1.2017029051799673,6.337534583914526
18165,18,165,Vermillion,2020-01-01,2020,AN81,0.0,3.2729736780491177,-2.05585604541793,8.602747610571036
