month,variable,unit,n,mean,sd,min,p01,p05,median,p95,p99,max
1,ppt_total,mm,6216,77.97609213895186,68.654647051985,0.1292200437925906,2.9039494142353215,8.098294908795681,64.91668297477673,189.22727107150234,314.8559107140538,908.5947201737282
1,tmean_mean,,6216,2.1805691080134526,5.945980006815389,-13.392206686959266,-10.707458018369747,-7.321284892168746,1.890674917377356,11.980347559805084,15.875774235960543,21.049086929585037
1,tmin_mean,,6216,-2.7015093281266327,5.513861692272058,-18.213967202154706,-15.349716636380164,-11.886468978016552,-2.640857328841556,6.0796741235286715,10.152395445432905,16.960457506802523
1,tmax_mean,,6216,7.063052799456708,6.570269693570332,-9.027427488466843,-6.311859284529541,-2.9135041987571224,6.690202103081367,17.891625747717022,22.081561694695566,25.884576663178528
1,tdmean_mean,,6216,-2.131976712227942,5.44810420807194,-15.84583005254009,-13.664202421776412,-10.256566857200722,-2.5426588512920416,7.451223112767366,11.41919432055607,16.22616269750658
1,vpdmin_mean,,6216,0.4878364082982158,0.3014038282091912,0.0766477807464091,0.14576416906767276,0.18663045427848524,0.4270773718893822,0.9861298865095569,1.596791266346095,3.713821311753165
1,vpdmax_mean,,6216,5.210063012699896,3.181439997139115,0.6504974384003142,0.9559626043710447,1.3604560010467557,4.615358010373461,11.488152101415508,14.820377502265455,19.14951925178951
1,days_below_freezing,,6216,21.591216216216218,9.818155809133527,0.0,0.0,2.0,25.0,31.0,31.0,31.0
1,freeze_thaw_days,days,6216,15.976994851994853,7.761755263659253,0.0,0.0,2.0,17.0,27.0,30.0,31.0
1,days_precip_gt_10mm,,6216,2.390926640926641,2.4287778631847794,0.0,0.0,0.0,2.0,6.0,9.0,26.0
1,heating_degree_days,degree-days,6216,502.06708752625946,181.65779040788348,8.633675170821082,101.89823196238503,205.40353741272597,509.72241089463523,795.2931649905644,900.2645319027963,983.4917406290706
1,cooling_degree_days,degree-days,6216,1.3313965413432014,5.664848019606802,0.0,0.0,0.0,0.0,8.504149647907361,26.894806698716796,98.46693110212978
1,mean_temp_c,°C,6216,2.1805691080134526,5.945980006815389,-13.392206686959268,-10.707458018369747,-7.321284892168746,1.890674917377356,11.980347559805084,15.875774235960543,21.049086929585037
1,tmean_variance_c2,,6216,17.416484835145102,9.93342907063125,2.78400849019513,4.196540961270594,6.1443590862768565,15.984972597144123,32.97564745579263,54.68862735219297,105.13711983101096
2,ppt_total,mm,6216,84.42280368526731,76.17312444877767,0.0,0.8821673024019713,3.4626856789247995,67.58594261923326,229.0733362763754,322.4914714846363,451.0716955535722
2,tmean_mean,,6216,0.8962073478593098,7.271835122038021,-18.956128301610708,-14.682475242772396,-11.464773164121079,1.0482983897083167,12.20086797454293,17.028839348022853,23.387112516830257
2,tmin_mean,,6216,-4.60195242788947,7.160677696353042,-25.040311727840923,-20.61739483701539,-17.000368784960344,-4.213964416162367,6.19811896349572,10.909882590988458,19.804314392606905
2,tmax_mean,,6216,6.390865661211205,7.517914467461545,-13.218669080828036,-9.134797703491024,-5.918298208735112,6.349066820553276,18.333718720354668,23.254028202700027,27.843816645278363
2,tdmean_mean,,6216,-3.82475709771442,6.985604561824442,-21.303369650659757,-18.274060004603445,-14.95978765581946,-4.044447660233281,8.025268312951583,12.672127078656098,19.64404507580093
2,vpdmin_mean,,6216,0.5039594022859468,0.3802482711890763,0.0889135883991,0.15137157399374251,0.19760169760576327,0.4149641279460605,1.0595922642503148,2.272107977970518,5.218537269954006
2,vpdmax_mean,,6216,5.7880167610461895,3.3244733085663003,0.8291975687088005,1.1968483581748364,1.8205443839391928,5.126715135620693,12.05644121039284,16.154161052005385,23.491131506350733
2,days_below_freezing,,6216,20.014478764478763,8.671521498697029,0.0,0.0,3.0,23.0,29.0,29.0,29.0
2,freeze_thaw_days,days,6216,12.827380952380953,6.110800216494222,0.0,0.0,3.0,12.0,23.0,26.0,28.0
2,days_precip_gt_10mm,,6216,2.5805984555984556,2.6320513513168113,0.0,0.0,0.0,2.0,7.0,9.0,16.0
2,heating_degree_days,degree-days,6216,498.05971961133986,200.9644641604138,9.2860840041872,79.35248840899295,183.89725060179427,492.8235958057653,838.7809599501459,926.3286856992393,1044.1049257784332
2,cooling_degree_days,degree-days,6216,2.005644335952519,9.122035305414201,0.0,0.0,0.0,0.0,10.946420041934115,48.004620628390455,150.79190114210112
2,mean_temp_c,°C,6216,0.8962073478593096,7.271835122038021,-18.956128301610708,-14.682475242772396,-11.464773164121079,1.0482983897083167,12.20086797454293,17.028839348022853,23.387112516830257
2,tmean_variance_c2,,6216,37.82510033160451,27.334843213962227,0.8647028818389221,3.641390892385058,9.90018112833593,26.586078534205654,95.26832861364048,111.39536427489259,142.39583382726758
3,ppt_total,mm,6216,95.26922979420391,62.41303096780274,0.0,2.1905114372254966,10.573559478082979,83.19609631584973,219.3440204322463,274.3849816117182,341.9222835743804
3,tmean_mean,,6216,8.834251392486797,5.769116493454747,-5.603899858585143,-2.7046691821016045,-0.05529686144767418,8.680341002070236,18.95125734073568,21.578449770061567,24.542261259142673
3,tmin_mean,,6216,2.7262674658669317,5.839815579954264,-12.892129454096906,-9.007049539601166,-6.243475089881917,2.4011893567082243,13.16828825829106,16.3547755238928,20.16257912273412
3,tmax_mean,,6216,14.928623785767728,5.873048627163854,-0.0041773134622379,3.2138716364207287,5.582749186232206,15.011423116938934,24.712153366053542,27.635178959352285,31.10507572362405
3,tdmean_mean,,6216,2.460343486437917,6.224088790044218,-14.004037098440577,-9.42266475535255,-6.755710263894887,1.7821323912388045,13.808927481225947,16.635911665674982,18.502226545144737
3,vpdmin_mean,,6216,0.8281410556468738,0.44320523494563074,0.1563668245979691,0.26242246157086174,0.36068592222045714,0.7383984576597002,1.5151536137572443,2.499189525919732,5.708143411347864
3,vpdmax_mean,,6216,10.471750790647103,4.052589099506868,1.7540202092035695,3.543224392406569,4.660926600563971,10.143011078187824,17.471375090332817,22.47407578790382,29.79098686356997
3,days_below_freezing,,6216,12.112290862290862,10.469982538135053,0.0,0.0,0.0,10.0,30.0,31.0,31.0
3,freeze_thaw_days,days,6216,11.456563706563706,9.644562302737606,0.0,0.0,0.0,10.0,28.0,30.0,31.0
3,days_precip_gt_10mm,,6216,3.1184041184041185,2.324269608848895,0.0,0.0,0.0,3.0,7.0,9.0,12.0
3,heating_degree_days,degree-days,6216,305.0783407011519,162.6049186030279,0.0,13.90542796937778,46.63314624731137,300.14196885623494,570.0475360382112,652.1780779784832,742.0542289494728
3,cooling_degree_days,degree-days,6216,10.606800534909311,24.01993358218724,0.0,0.0,0.0,0.0,66.37702125038145,115.12671769882797,197.22542392355845
3,mean_temp_c,°C,6216,8.834251392486797,5.769116493454747,-5.603899858585143,-2.7046691821016045,-0.05529686144767418,8.680341002070236,18.95125734073568,21.578449770061567,24.54226125914267
3,tmean_variance_c2,,6216,18.367519828565104,7.174856262201794,1.5858387101148117,3.9733694444369947,7.634459543704432,18.083790168000693,29.14550157095863,43.38313960303665,67.46340856485412
4,ppt_total,mm,6216,84.80013100867657,60.299294289274705,0.0,1.9210511477356556,8.690846501667982,72.26416278250375,193.78906426602182,266.26396774921835,388.4307251514955
4,tmean_mean,,6216,11.539170056628477,4.773087787389809,-1.069201729261832,1.7449603426234,3.8091606795137176,11.384906135972699,19.356563391121853,22.77867601041979,26.908080021049273
4,tmin_mean,,6216,4.922867847268032,4.887099909054241,-8.01387664211609,-5.1222965940256255,-2.9610013577879974,4.861517725966577,12.983144544506269,17.232921040868035,22.93730444344353
4,tmax_mean,,6216,18.117836189942857,4.8720096299567235,5.051044538247343,7.8324735869572075,10.094136726496926,18.020904220214312,25.75444655903519,28.90692135539487,31.76850873180343
4,tdmean_mean,,6216,3.7510752551390563,5.667422546150623,-13.80025603193389,-9.087614222938154,-5.587911400454533,3.8242339901757627,13.382644077288095,17.065509145685464,21.125499097069643
4,vpdmin_mean,,6216,1.111318009988092,0.7540425137028622,0.1449861157013892,0.35636439632818545,0.4703662506125976,0.9625602737084846,2.2059550658440408,4.391459436047254,10.702104790084515
4,vpdmax_mean,,6216,14.010125889487812,4.395910660818609,4.595836629186015,6.464390864177935,7.8970764556771815,13.52590844096111,21.329772028599628,28.089342409390472,42.12032170051928
4,days_below_freezing,,6216,7.066602316602316,7.341770713316165,0.0,0.0,0.0,5.0,22.0,27.0,30.0
4,freeze_thaw_days,days,6216,6.745978120978121,6.828220974888156,0.0,0.0,0.0,5.0,21.0,26.0,29.0
4,days_precip_gt_10mm,,6216,2.518018018018018,1.9328211463001936,0.0,0.0,0.0,2.0,6.0,7.0,10.0
4,heating_degree_days,degree-days,6216,217.6861030202639,125.11092381770453,0.0,4.5747327481373175,28.89874300599182,213.21317976865072,435.72517961458846,497.6511897212982,582.0760518778549
4,cooling_degree_days,degree-days,6216,13.861204719118286,26.163519218754715,0.0,0.0,0.0,4.285404441839301,60.64672570804181,137.17188740964144,257.2424006314782
4,mean_temp_c,°C,6216,11.539170056628477,4.773087787389809,-1.069201729261832,1.7449603426234,3.8091606795137176,11.384906135972699,19.356563391121853,22.77867601041979,26.908080021049273
4,tmean_variance_c2,,6216,22.662173717745368,10.842306344022461,2.297470872365013,6.10609815134592,9.036359896098345,20.403218230352763,43.8224213839785,58.44252521382691,67.92123127575086
5,ppt_total,mm,6216,104.3831873854084,63.43990587931597,0.0,1.0420445760054204,17.365886150173793,96.64069504950089,221.8486072678317,314.04880913583287,530.6702341470033
5,tmean_mean,,6216,16.623988377769106,4.023367569823751,3.7276057181021978,7.573569184539084,10.524295014352356,16.305129470864166,23.428606845791037,25.49951562955834,27.9341101738684
5,tmin_mean,,6216,10.547069649728066,4.277814648893506,-2.612368860525022,0.48215914913611585,3.5514429601118724,10.539963340790642,17.500529807731056,20.43670047731008,22.94243379802219
5,tmax_mean,,6216,22.671775915849153,4.02055404786013,10.209065013797945,14.342287434571062,16.97817509051151,21.948062881824804,29.639166315661193,32.04137482979124,36.611670659246435
5,tdmean_mean,,6216,9.503871225934372,5.387783859059295,-9.62585543382485,-5.552920084118457,-0.6022057636767821,9.961645246148716,17.570373738994043,20.09569030327342,22.4580578251575
5,vpdmin_mean,,6216,1.2876196343853998,1.1484339075440926,0.1803197151338778,0.32814960182782704,0.4934733574326305,1.032868885003258,2.9002316436618467,6.750633290456642,14.879123511640314
5,vpdmax_mean,,6216,16.476055179712734,5.413342028406867,6.549255154214183,9.94136863258578,11.268125009591543,14.980568587701677,26.208075081110202,38.757564262464655,57.55971985788699
5,days_below_freezing,,6216,1.5408622908622909,3.1755203291619014,0.0,0.0,0.0,0.0,9.0,14.850000000000364,28.0
5,freeze_thaw_days,days,6216,1.5378056628056629,3.1632217674387766,0.0,0.0,0.0,0.0,9.0,14.0,28.0
5,days_precip_gt_10mm,,6216,3.3508687258687258,2.2512267258853242,0.0,0.0,0.0,3.0,8.0,10.0,13.0
5,heating_degree_days,degree-days,6216,105.78255313532972,80.57581827397266,0.0,0.0,1.495945451212246,98.35217128521629,247.49777855231875,333.7291296241196,452.7775560721652
5,cooling_degree_days,degree-days,6216,52.792859512838675,51.29813914266193,0.0,0.0,0.4024801999989442,36.65667376609673,160.11149802944374,222.1516511829752,297.6240820565872
5,mean_temp_c,°C,6216,16.623988377769106,4.023367569823751,3.7276057181021978,7.573569184539084,10.524295014352356,16.30512947086417,23.428606845791037,25.499515629558335,27.9341101738684
5,tmean_variance_c2,,6216,20.717005517070497,9.811571995847329,0.9750618630320173,3.5356086455021836,6.264266899518742,20.21816744560504,37.9856350308314,46.20732530566773,53.869481815247774
6,ppt_total,mm,6216,107.75518364831277,65.04534478819079,0.0,0.5650938281168286,13.592938853494935,100.15424057416703,226.25644750095108,306.93168423775154,489.6626336886409
6,tmean_mean,,6216,22.83688048036481,3.232552155343613,8.813421149866837,12.435048047563258,16.593239508204135,23.34988720423771,27.050529498933393,28.146000351072626,32.50928140727866
6,tmin_mean,,6216,16.753206127437764,3.8573750615200533,1.988906621981006,5.179497073028625,9.267763038899455,17.450534989649185,21.87929302614103,23.462477480272018,25.799591870101448
6,tmax_mean,,6216,28.92080079523522,2.9903488805335368,15.094891668752764,19.075261985809792,23.61903616883845,29.24171049067894,32.97051808314541,35.07384247492758,40.714902865828854
6,tdmean_mean,,6216,15.461204984932536,5.436493426895012,-5.488199007396288,-1.9964701721437217,3.30798990423304,16.651393500183637,21.869607713199688,23.100152679628344,24.43203355493601
6,vpdmin_mean,,6216,1.959669320320256,1.8402164943092023,0.0675847303705171,0.3267272845839188,0.5033241048214757,1.4682272503702933,5.1132806513326265,10.004034169878263,21.295060982123083
6,vpdmax_mean,,6216,22.907363017397493,6.9112369815756685,6.356236940952052,12.621542529713583,15.640824167348123,21.082201065325805,37.428169006200896,46.511302671621856,70.81786678685582
6,days_below_freezing,,6216,0.05936293436293436,0.44470516455529546,0.0,0.0,0.0,0.0,0.0,2.0,10.0
