geoid,variable,unit,n,mean,sd,min,p01,p05,median,p95,p99,max,state_fips,county_name,mean_across_counties,std_across_counties,abs_z
04027,vpdmax_mean,,24,42.74130316102326,19.95360636118168,17.461394123225187,17.639973143650554,18.241826256113864,39.66247520994632,74.45525876899431,76.3315643120069,76.64623446224918,04,Yuma,14.312820454098365,4.323844786572561,6.574815727707857
06025,vpdmax_mean,,24,41.08345321291443,18.853768582304014,17.051382472197364,17.187735687248825,17.814145876572965,37.96005160781099,69.7812528275357,71.86720231012033,72.29410153598242,06,Imperial,14.312820454098365,4.323844786572561,6.1913954085379395
04012,vpdmax_mean,,24,41.06594936502207,20.204932050484597,16.114708926658693,16.214004127092338,16.561229929280678,37.311930051047746,73.29894691149273,73.91362333066151,73.96644529498164,04,La Paz,14.312820454098365,4.323844786572561,6.1873471947938405
04013,vpdmax_mean,,24,39.603676004479716,18.784031204938035,15.34122076732381,15.495837647177114,16.22231982624638,37.23650829758044,69.33636545394177,70.88182296608133,71.29690514330709,04,Maricopa,14.312820454098365,4.323844786572561,5.84915897742689
04021,vpdmax_mean,,24,37.9053259274583,17.34887243589588,14.688182716123382,15.049781758857579,16.40749528129675,36.64257599606849,65.59534416570355,66.0245947095303,66.05738504167262,04,Pinal,14.312820454098365,4.323844786572561,5.456371964744211
04019,vpdmax_mean,,24,37.36408283317608,15.919951959396421,16.285955085081717,16.53645293077792,17.505973593449657,36.33507645470861,61.67505377310287,63.78598348606756,64.3568473677114,04,Pima,14.312820454098365,4.323844786572561,5.331195617997671
32003,vpdmin_mean,,24,10.400050832128505,6.92420537885295,2.535873581127889,2.54963729773743,2.615546402556873,8.344090912634368,21.954572621289575,22.628737481812998,22.795347227697007,32,Clark,1.1119558823033553,0.9317444863687236,9.968500040202574
04013,vpdmin_mean,,24,10.244499794254777,6.535519186479135,1.9884431410018588,2.099472911928842,2.5034991287616495,9.180623873868955,21.197940677845413,22.6015607025875,23.01460053216409,04,Maricopa,1.1119558823033553,0.9317444863687236,9.801554015676093
04027,vpdmin_mean,,24,9.988558130257477,6.245408910814488,2.0983278764237436,2.1559733257009945,2.3920130619488265,8.63170713653905,20.47634749681612,21.071512207636726,21.202068246217333,04,Yuma,1.1119558823033553,0.9317444863687236,9.526863188156653
06071,vpdmin_mean,,24,9.888339154800036,6.199978703352734,2.267644817308459,2.3582187140539412,2.7099814639384383,8.262634055460646,19.637637623920043,19.73981717730694,19.748058766067423,06,San Bernardino,1.1119558823033553,0.9317444863687236,9.41930261020462
04012,vpdmin_mean,,24,9.580642527967482,6.417738979529209,1.857881264980961,1.916954451362052,2.167902056582366,7.8498940030585596,20.41146942538172,21.533478527105608,21.8141596632977,04,La Paz,1.1119558823033553,0.9317444863687236,9.089065478314806
06025,vpdmin_mean,,24,9.387771217682108,5.179802341849127,2.5148950117543105,2.5792191531372106,2.868176229837248,9.273523152592077,17.512082767834418,17.653035131812928,17.67751212102845,06,Imperial,1.1119558823033553,0.9317444863687236,8.882065261938909
06027,vpdmin_mean,,24,9.377199944013753,6.30872112785749,2.3194763864558365,2.3526454916400303,2.47593089325638,7.048178247705011,18.942864919253008,19.87270532848115,20.121300722599084,06,Inyo,1.1119558823033553,0.9317444863687236,8.870719583136394
04015,vpdmin_mean,,24,8.647831874619014,5.776022448816551,1.920093499683071,1.9941454105396366,2.255901209803019,6.95956568264735,18.365826973814638,18.916219248775246,19.072900510694176,04,Mohave,1.1119558823033553,0.9317444863687236,8.087921208619258
04021,vpdmin_mean,,24,8.57970446525602,5.6288556162432535,1.4323432590420777,1.5863102001631262,2.1407745275542824,7.427708433271302,18.737930259844358,19.124955509348222,19.146195309286956,04,Pinal,1.1119558823033553,0.9317444863687236,8.014803084112286
06065,vpdmin_mean,,24,8.252704950026592,4.691463160058641,1.8034755682195065,1.9631440096607853,2.585449372901841,7.530941935436109,15.272934268841858,15.746150582600537,15.879615924726286,06,Riverside,1.1119558823033553,0.9317444863687236,7.663849018900868
04019,vpdmin_mean,,24,7.757890635315095,4.7995872214852335,1.6064178850803807,1.6865094264376752,1.9918812992196955,6.587177920352554,15.703920317348157,16.957276529581335,17.311917207861498,04,Pima,1.1119558823033553,0.9317444863687236,7.132786778178705
48141,vpdmin_mean,,24,7.14519842270645,4.216703852505516,2.091659196737959,2.150068509126509,2.3709412846958138,6.092339858609421,14.690546866590518,15.100455662036964,15.176688854105526,48,El Paso,1.1119558823033553,0.9317444863687236,6.475211421874227
49053,vpdmin_mean,,24,6.404631034149968,4.6521516654555555,1.4049960786558553,1.4212451747776624,1.4857251899533424,4.60551658099422,14.708305438181547,14.88512583247616,14.901672771866322,49,Washington,1.1119558823033553,0.9317444863687236,5.680393315203496
04025,vpdmin_mean,,24,6.228906497264101,3.978154931331146,1.562767360188234,1.6274682105720897,1.864439924726429,5.453827153053124,13.240453723742661,13.487994479073098,13.50515771992518,04,Yavapai,1.1119558823033553,0.9317444863687236,5.4917959696257235
32017,vpdmin_mean,,24,6.094929247885524,4.4626525993882415,1.3388444559790826,1.363523630479564,1.4540128845021854,4.310879514470622,14.05876076700214,14.572253242769127,14.675773579317983,32,Lincoln,1.1119558823033553,0.9317444863687236,5.348004134698183
32009,vpdmin_mean,,24,6.081639420482662,4.523886645203447,1.0927914924075834,1.1736463096046872,1.4507572521533596,4.196405740737303,13.582417921686602,14.579363173797457,14.802393706707283,32,Esmeralda,1.1119558823033553,0.9317444863687236,5.333740752840507
06029,vpdmin_mean,,24,5.93063346792426,4.354170263986908,0.9910630614173064,1.0368567123166894,1.2349808482586109,4.4730428169087215,12.796603489548573,14.63406309900362,15.150455445559478,06,Kern,1.1119558823033553,0.9317444863687236,5.17167276664086
