geoid,state_fips,county_fips,county_name,year,month,n_days,ppt_total,tmean_mean,tmin_mean,tmax_mean,dataset_types
17001,17,001,Adams,2020,1,31,75.40899094514685,-0.9968483112043166,-4.79293398594132,2.799133656713777,AN81
17001,17,001,Adams,2020,2,29,40.42373512563983,-0.967810596218484,-5.643788011134554,3.708147053157399,AN81
17001,17,001,Adams,2020,3,31,100.4497755187916,6.902849495420228,2.2577370917019532,11.54806012102108,AN81
17001,17,001,Adams,2020,4,30,103.85431321069183,10.215476052469972,4.217125286656849,16.213929919881227,AN81
17001,17,001,Adams,2020,5,31,131.68929877314582,16.083000998023405,11.421331842733657,20.744770882521134,AN81
17001,17,001,Adams,2020,6,30,180.7322854190307,23.589133997956296,18.230276011190693,28.948094671861863,AN81
17001,17,001,Adams,2020,7,31,143.3841061495006,25.415991892157045,20.565754978374716,30.266332768429855,AN81
17001,17,001,Adams,2020,8,31,27.111073788353963,23.00896424410356,17.342500462618407,28.675529512180777,AN81
17001,17,001,Adams,2020,9,30,79.28670387265026,18.333333332862438,12.557804303297111,24.10896344540548,AN81
17001,17,001,Adams,2020,10,31,31.620466859224475,10.526704373954999,4.982335630797194,16.071170461417076,AN81
17001,17,001,Adams,2020,11,30,62.02799409023314,8.027262531561615,2.1665136187304186,13.888103703229273,AN81
17001,17,001,Adams,2020,12,31,51.58990858958849,0.3912128097971467,-4.630027407761733,5.412436621172962,"AN81,AN91"
17001,17,001,Adams,2021,1,31,50.94829692757235,-1.5018726222660712,-4.749237101987348,1.7797714214314833,AN91
17001,17,001,Adams,2021,2,28,28.52556224156683,-7.100635300362007,-11.492451607476582,-2.7523817985469954,AN91
17001,17,001,Adams,2021,3,31,123.92239679812147,8.01083126739869,2.59130966430699,13.448475329614679,AN91
17001,17,001,Adams,2021,4,30,153.3835408998366,11.806213078766039,6.15319077698324,17.35120370647456,AN91
17001,17,001,Adams,2021,5,31,135.3813583469243,16.146714185204043,11.513267177734981,20.734935464641794,AN91
17001,17,001,Adams,2021,6,30,194.76613978836207,23.80065587456015,18.436200055714515,29.12994037192622,AN91
17001,17,001,Adams,2021,7,31,186.2637872137321,24.031893289468403,19.310906082198557,28.753021255033396,AN91
17001,17,001,Adams,2021,8,31,92.23103583349436,24.32890202657404,19.075662156262233,29.58228389463586,AN91
17001,17,001,Adams,2021,9,30,37.88228799411767,21.229301464230954,14.542324939408138,27.916422965577105,AN91
17001,17,001,Adams,2021,10,31,228.81623282231232,14.879562838692205,10.190067692557905,19.569198313311077,AN91
17001,17,001,Adams,2021,11,30,21.016838112085484,5.520973329887369,-0.27440040564863166,11.3164460320149,AN91
17001,17,001,Adams,2021,12,31,30.072429799775414,4.148140726939902,-1.5640468491904678,9.860390117551265,AN91
17003,17,003,Alexander,2020,1,31,161.7839423484521,3.8439311077938396,-0.038551603244054655,7.727114688468163,AN81
17003,17,003,Alexander,2020,2,29,143.3548629178893,4.152532802466596,-0.1003255464233945,8.405456905656825,AN81
17003,17,003,Alexander,2020,3,31,183.10236809611396,11.130838248073964,6.358324784006305,15.903450505623876,AN81
17003,17,003,Alexander,2020,4,30,79.3450736121905,12.850919303141227,7.098975158206015,18.6029640165598,AN81
17003,17,003,Alexander,2020,5,31,133.4660654050789,18.59701851195505,13.587597660744608,23.606541976839093,AN81
17003,17,003,Alexander,2020,6,30,148.05730443534506,24.770441823077057,19.42850938435685,30.112474343475768,AN81
17003,17,003,Alexander,2020,7,31,103.63344720697262,27.289937243104212,22.202206472455178,32.377768083168,AN81
17003,17,003,Alexander,2020,8,31,125.08003881340875,24.12746222460908,19.142380549389664,29.112646780517633,AN81
17003,17,003,Alexander,2020,9,30,71.3593447291563,20.703730609868515,15.031410347228354,26.37615076377322,AN81
